Filename , Multicolour0,Horizontal0,Vertical0,Ratio0,Multicolour1,Horizontal1,Vertical 1,Ratio1
PAT_433_852_20.png,0,61,66,1.081967213,1,134,123,1.089430894
PAT_464_900_548.png,1,356,469,1.31741573,1,262,270,1.030534351
PAT_465_901_627.png,0,131,121,1.082644628,1,125,129,1.032
PAT_471_909_353.png,1,2033,655,3.103816794,1,1169,634,1.84384858
PAT_471_909_394.png,1,2473,801,3.087390762,1,2456,821,2.991473812
PAT_486_929_317.png,1,944,734,1.286103542,1,918,746,1.230563003
PAT_522_986_305.png,0,178,145,1.227586207,1,178,138,1.289855072
PAT_544_3299_671.png,0,346,389,1.124277457,0,361,391,1.083102493
PAT_577_1107_61.png,0,137,124,1.10483871,0,134,124,1.080645161
PAT_59_46_537.png,1,125,119,1.050420168,1,123,124,1.008130081
PAT_600_1141_988.png,1,433,455,1.050808314,1,458,464,1.013100437
PAT_611_1158_156.png,1,120,208,1.733333333,1,109,190,1.743119266
PAT_614_1166_885.png,1,418,439,1.050239234,1,416,528,1.269230769
PAT_615_1167_722.png,1,365,387,1.060273973,1,362,377,1.041436464
PAT_615_1168_968.png,0,320,368,1.15,0,319,383,1.200626959
PAT_616_1169_3.png,1,315,270,1.166666667,0,313,262,1.194656489
PAT_621_1182_456.png,0,620,541,1.146025878,0,608,536,1.134328358
PAT_621_1183_56.png,1,541,531,1.018832392,1,531,521,1.019193858
PAT_621_3591_171.png,1,346,270,1.281481481,0,335,268,1.25
PAT_621_3592_955.png,1,550,525,1.047619048,0,516,504,1.023809524
PAT_622_1185_922.png,1,155,132,1.174242424,1,158,135,1.17037037
PAT_625_1184_412.png,1,111,98,1.132653061,1,86,99,1.151162791
PAT_627_1188_503.png,1,397,375,1.058666667,1,397,369,1.075880759
PAT_627_1188_755.png,1,142,111,1.279279279,0,134,118,1.13559322
PAT_633_1199_218.png,0,142,132,1.075757576,0,124,119,1.042016807
PAT_637_1434_684.png,1,235,200,1.175,1,205,180,1.138888889
PAT_641_1211_321.png,0,222,171,1.298245614,1,218,164,1.329268293
PAT_641_3704_317.png,1,201,154,1.305194805,0,200,164,1.219512195
PAT_649_1233_229.png,1,310,280,1.107142857,0,313,267,1.172284644
PAT_650_3858_329.png,1,269,333,1.237918216,1,271,310,1.143911439
PAT_656_1246_483.png,0,109,142,1.302752294,0,107,134,1.252336449
PAT_662_1251_43.png,1,527,736,1.39658444,1,569,736,1.293497364
PAT_665_1260_16.png,1,494,346,1.427745665,0,481,361,1.332409972
PAT_665_1261_17.png,0,724,570,1.270175439,0,710,588,1.207482993
PAT_665_1262_774.png,1,438,414,1.057971014,1,441,396,1.113636364
PAT_67_104_695.png,1,146,116,1.25862069,1,150,121,1.239669421
PAT_67_104_730.png,1,645,632,1.02056962,1,656,662,1.009146341
PAT_672_1272_705.png,0,402,460,1.144278607,0,381,435,1.141732283
PAT_680_1289_182.png,1,163,200,1.226993865,1,178,197,1.106741573
PAT_680_1289_585.png,1,66,87,1.318181818,1,68,84,1.235294118
PAT_70_107_155.png,1,664,561,1.183600713,1,673,566,1.189045936
PAT_70_107_591.png,1,163,138,1.18115942,1,172,135,1.274074074
PAT_701_4056_457.png,0,210,212,1.00952381,0,218,198,1.101010101
PAT_710_1330_243.png,0,153,147,1.040816327,0,145,141,1.028368794
PAT_711_1334_480.png,1,302,282,1.070921986,1,302,286,1.055944056
PAT_715_1339_508.png,1,262,225,1.164444444,1,242,222,1.09009009
PAT_72_110_647.png,1,111,95,1.168421053,1,93,83,1.120481928
PAT_72_110_944.png,1,116,88,1.318181818,1,111,80,1.3875
PAT_731_1387_634.png,1,266,220,1.209090909,1,227,208,1.091346154
PAT_746_1407_708.png,1,441,473,1.072562358,1,439,569,1.296127563
PAT_756_1495_858.png,1,64,52,1.230769231,1,65,51,1.274509804
PAT_756_1496_480.png,0,85,59,1.440677966,0,69,63,1.095238095
PAT_756_1496_599.png,0,66,47,1.404255319,0,57,44,1.295454545
PAT_768_1450_402.png,1,133,158,1.187969925,1,128,155,1.2109375
PAT_771_1490_334.png,1,345,420,1.217391304,1,328,337,1.027439024
PAT_782_1492_890.png,1,718,794,1.105849582,1,468,432,1.083333333
PAT_788_1503_541.png,1,674,403,1.672456576,1,677,398,1.701005025
PAT_791_1487_906.png,1,496,446,1.112107623,1,489,395,1.237974684
PAT_801_1518_574.png,1,352,550,1.5625,1,276,388,1.405797101
PAT_801_1518_78.png,0,274,403,1.47080292,0,331,535,1.616314199
PAT_813_1619_543.png,1,237,309,1.303797468,1,247,314,1.271255061
PAT_82_125_907.png,1,197,204,1.035532995,1,164,175,1.067073171
PAT_83_126_820.png,1,206,238,1.155339806,1,193,215,1.113989637
PAT_835_1578_592.png,1,618,605,1.021487603,1,577,602,1.043327556
PAT_877_1667_118.png,1,569,465,1.223655914,1,543,410,1.324390244
PAT_90_138_369.png,0,137,149,1.087591241,1,141,146,1.035460993
PAT_90_138_605.png,1,141,166,1.177304965,1,154,165,1.071428571
